Angle,Angle_alpha,Coff_Rp,Coff_Rp_err,Coff_Rs,Coff_Rs_err,Coff_Tp,Coff_Tp_err,Coff_Ts,Coff_Ts_err
15,0.5,0.02560835324307583,0.007792792742564254,0.03292969455991325,0.007922951189145325,0.9963255464118219,0.033741302988012596,1.0073174588830653,0.0347615304102191
20,0.5,0.006663127156888769,0.008190331532839502,0.008160130128320982,0.008272885287392243,0.9555614547385186,0.03224503886161856,0.9324778601120548,0.032538553580199116
25,0.5,0.018912043182019292,0.01097932638357822,0.033772365805168986,0.010933563951127545,0.9638638173612953,0.033715221091944234,0.8950953370684981,0.03319116530657232
30,0.5,0.015463233342182107,0.01120892828729508,0.040190674136996195,0.011631706748188251,0.89820812317494,0.02575368832814497,0.8007093800831376,0.023804120246787325
35,0.5,0.012229006282629854,0.015008050636215466,0.05179830110247606,0.015604283777447082,0.7715932218387751,0.022789485872169283,0.6772795047894451,0.020503353604120995
38,0.5,0.011906026015396864,0.016412687543517317,0.051920296403397785,0.01661409181123033,0.9231439695602158,0.02733696099730398,0.801549792156154,0.024677413294883245
40,0.5,0.007025926909123085,0.014703623155453297,0.054843665281041024,0.015374960704528293,0.9590345987080787,0.027970806198242718,0.851983553226098,0.025879517247069713
42,0.5,0.009375276524201398,0.010921099313791389,0.061083499005964215,0.011400320304695028,0.880530484027962,0.025759725788463254,0.7756529007771551,0.024213717271995467
44,0.5,0.008864259800017697,0.010406193751626887,0.06440222302548344,0.01036686610761572,0.8512941332625431,0.02561074948200866,0.749410356045545,0.02340146987980711
46,0.5,0.0064728785063268715,0.011590766743120264,0.06693023676125066,0.01199938195117868,0.7653658968232898,0.023232650962651438,0.6641424182179649,0.021323716427604694
48,0.5,0.002482081231749401,0.0113045264379145,0.0712136273269474,0.01196074579262391,0.7087116184408458,0.022489984599400548,0.6098996927525755,0.020455909824832717
50,0.5,0.0022630740642421016,0.012910313509058635,0.07483056208205315,0.013449052096460428,0.7142354658879745,0.021147667882985475,0.6232220314476776,0.019504637935362862
55,0.5,-0.00017476329528360451,0.011947703081653247,0.0944808422194108,0.012275672198666926,0.6575214582780285,0.02083584416253226,0.5280272908006507,0.018514026567739966
60,0.5,0.0033094416423325368,0.010943929321653618,0.12560093981565154,0.011109232610007172,0.5147000265463233,0.01810206176237822,0.3866912163383336,0.015982626014800567
65,0.5,0.0130696398548801,0.010684393035948498,0.16810048798120367,0.011743024951172134,0.3975024334129723,0.015723556478225726,0.28824100849448764,0.014412857919722065
70,0.5,0.03923989027519689,0.008886498925096848,0.21877372130851258,0.011053292479192334,0.31690779577028577,0.013273825421652542,0.21429378275799746,0.012530254189288529
75,0.5,0.0928125829572604,0.009640025179593639,0.2764210193385143,0.012593904270728687,0.21834793381116716,0.011127804648291127,0.13668443882161577,0.010798556657289942
